grupo,n_filas,co2_real_medio,co2_pred_medio,mae,rmse,r2,error_relativo_pct
AUDI Q5,210,178.4142857142857,171.49073791503906,8.94565197172619,11.98651432312856,0.37242138078238185,5.013977404282436
X5 XDRIVE30D,212,170.9009433962264,177.01910400390625,8.926700160188496,10.66349670974658,0.5778402498444332,5.223318246694713
XP500,290,103.33977586206896,94.42716979980469,8.917094987540409,53.70914415835769,-0.04512219167370213,8.628908775109355
ABARTH 500,167,153.2874251497006,144.49386596679688,8.875699254567039,10.027928909971967,-0.618454444643513,5.790233116577583
TOURNEO CONNECT,455,133.69230769230768,135.59400939941406,8.785090754582331,11.078239992402406,0.7588351990915292,6.571126571321652
QASHQAI,1830,136.12677595628415,133.23324584960938,8.762208259040541,12.720039408590873,0.6338151303643232,6.4367999590723
Z900,616,140.24675324675326,134.35186767578125,8.748761474312126,10.964935126822823,0.015721220420796156,6.238120506732416
508,132,119.58333333333333,124.91796875,8.706971370812619,10.992155988023425,0.25064994055878154,7.281091041794525
KISBEE,202,45.25247524752475,48.635013580322266,8.675413150598507,9.60056713761386,-0.7610955064443099,19.171135066413942
KANGOO 1.5,281,140.12099644128114,133.6258544921875,8.669943188433122,16.129994734446687,-19.571751226218954,6.187468979401908
A4,360,131.73611111111111,132.08448791503906,8.599737972683377,10.52179028526392,0.616853181138582,6.528003521699559
SH300,288,77.92708333333333,69.45188903808594,8.475195858213636,48.67487804164006,-0.0304957307754965,10.875802732101446
MG3 HYBRID+,233,100.0,108.3508071899414,8.350813706033732,8.361861886819717,0.0,8.350813706033732
NC750XA,157,81.65605095541402,90.00094604492188,8.344901601220393,8.809935120432101,-342.9645938168951,10.219575283865847
SORENTO,240,154.74333333333334,154.1865692138672,8.343552150726318,13.579262045044757,0.8609883636776781,5.391865336617399
V60,176,125.92613636363636,127.56742858886719,8.339007399298929,10.874664561548478,0.7890641968145092,6.622141868323834
LEXUS NX350H,143,131.55244755244755,139.8551025390625,8.30857283585555,8.637761855264863,-2.6773703762315835,6.315787345988431
CALIFORNIA BEACH,330,188.47575757575757,184.84332275390625,8.296213670210404,11.85765246020056,0.4270723474984247,4.401740455599842
S60,191,126.3979057591623,129.14537048339844,8.27463761174866,11.231352009058492,0.788171134208809,6.546498980382712
AVEO,594,130.37878787878788,128.13131713867188,8.265408923730304,37.4875594298771,0.037837651591484445,6.339535025754794
C 200 CDI,258,134.75193798449612,137.5407257080078,8.252306768136432,9.56055682406899,-0.2852701252182357,6.124072790022434
NISSAN NV300,122,164.19672131147541,165.4468231201172,8.22544873347048,9.605582612147819,0.5429214630141683,5.009508513794921
RANGE ROVER SPORT,491,184.9022403258656,183.53199768066406,8.207489425441642,14.3457703355156,0.9518592550539035,4.438826382512745
TRAFIC,2272,173.92517605633802,174.00369262695312,8.196924686431885,11.531470489033023,0.6508311758066444,4.712902911638698
HW125,137,64.0,55.84817123413086,8.15183230212135,8.308139094815633,0.0,12.73723797206461
AUDI A5,133,157.58646616541353,155.94871520996094,8.10817305486005,12.203342354071395,0.6280195131941657,5.145221700922691
VIVARO-B,258,159.20542635658916,159.12637329101562,8.090975502664728,9.214270610144474,0.346670110177959,5.082097820298234
SUPER DINK 125,577,75.3255459272097,67.530029296875,8.083835508984544,13.97776090645402,-2.105382755475998,10.731864481667747
VITO TOURER 114 CDI,120,168.575,168.60183715820312,8.065382258097332,10.605407467664076,0.2288035273545176,4.7844474317646934
CB650RA,257,112.8988326848249,104.86373901367188,8.035100024034078,8.831397431104586,-40.29708196354565,7.117079807605577
